origin,destination,km,km_road,km_rail,km_pipe
1,1,225.678,129.417,0.0,89.3926
1,2,946.983,129.417,286.989,485.573
1,3,135.788,129.417,0.0,0.561857
1,4,219.92,129.417,0.0,75.7229
1,5,367.211,129.417,0.0,231.966
1,6,221.364,129.417,0.0,82.0538
1,7,226.493,129.417,0.0,87.941
1,8,214.811,129.417,0.0,79.4673
1,9,226.493,129.417,0.0,87.941
1,10,233.667,129.417,0.0,97.6732
1,11,254.298,129.417,0.0,106.854
1,12,367.343,129.417,0.0,232.011
1,13,276.612,129.417,0.0,113.177
1,14,232.928,129.417,0.0,85.6927
1,15,216.903,129.417,0.0,69.7432
1,16,885.546,129.417,286.989,419.972
1,17,1026.99,129.417,286.989,565.973
1,18,1037.9,129.417,286.989,580.738
1,19,947.674,129.417,286.989,490.013
1,20,1466.34,445.354,286.989,691.998
1,21,979.064,129.417,286.989,521.498
1,22,980.502,129.417,286.989,523.022
1,23,145.192,129.417,0.0,10.623
1,24,950.831,129.417,286.989,489.465
1,25,1037.99,129.417,286.989,580.096
1,26,979.81,129.417,286.989,522.521
1,27,223.244,129.417,0.0,87.6665
1,28,558.747,129.417,286.989,76.2464
1,29,240.687,129.417,0.0,106.225
1,30,134.882,129.417,0.0,0.205932
1,31,1037.74,129.417,286.989,580.514
1,32,980.486,129.417,286.989,523.022
1,33,229.026,129.417,0.0,92.9811
1,34,652.49,218.157,286.989,76.2464
1,35,541.514,129.417,286.989,76.2464
1,36,1044.88,129.417,286.989,584.486
1,37,254.151,129.417,0.0,113.177
1,38,233.432,129.417,0.0,87.9689
1,39,980.434,129.417,286.989,522.585
1,40,1026.09,129.417,286.989,563.626
1,41,1149.18,129.417,286.989,691.998
1,42,683.881,129.417,286.989,226.757
1,43,357.259,129.417,0.0,221.385
1,44,228.173,129.417,0.0,89.2302
1,45,1024.95,129.417,286.989,565.973
1,46,1017.7,129.417,286.989,553.989
1,47,123.584,122.866,0.0,0.0
1,48,135.718,129.417,0.0,0.559981
1,49,259.897,129.417,0.0,123.555
1,50,223.211,129.417,0.0,88.1145
1,51,227.028,129.417,0.0,88.4117
1,52,947.137,129.417,286.989,485.631
1,53,941.684,129.417,286.989,478.471
1,54,980.021,129.417,286.989,521.536
1,55,230.858,129.417,0.0,92.9679
1,56,230.492,129.417,0.0,92.9811
1,57,980.816,129.417,286.989,523.022
1,58,952.573,129.417,286.989,495.343
1,59,1038.14,129.417,286.989,580.236
1,60,1024.59,129.417,286.989,565.973
1,61,950.584,129.417,286.989,489.566
1,62,225.702,129.417,0.0,89.4503
1,63,129.829,129.417,0.0,0.0
1,64,280.507,129.417,0.0,113.177
1,65,221.252,129.417,0.0,81.4927
1,66,953.96,129.417,286.989,495.168
1,67,224.098,129.417,0.0,87.0569
1,68,997.351,129.417,286.989,532.685
1,69,542.32,129.417,286.989,76.2464
1,70,245.689,129.417,0.0,106.157
1,71,229.969,129.417,0.0,92.2881
1,72,230.175,129.417,0.0,91.1096
1,73,227.113,129.417,0.0,87.7827
1,74,1056.29,160.222,286.989,565.973
1,75,1041.76,132.909,286.989,580.236
1,76,949.709,131.398,286.989,485.631
1,77,980.659,129.48,286.989,523.022
1,78,1469.38,448.861,286.989,691.998
1,79,373.324,135.363,0.0,232.011
1,80,1000.1,148.225,286.989,523.022
1,81,1033.64,136.577,286.989,563.626
1,82,231.8,130.705,0.0,91.1096
1,83,231.317,129.417,0.0,92.9679
1,84,352.153,204.89,0.0,113.177
1,85,961.562,137.65,286.989,494.651
2,1,187.382,0.0188305,0.0,184.492
2,2,908.688,0.0188305,286.989,580.672
2,3,233.235,0.0188305,0.0,231.404
2,4,181.625,0.0188305,0.0,170.822
2,5,0.21862,0.0188305,0.0,0.0
2,6,183.068,0.0188305,0.0,177.153
2,7,188.198,0.0188305,0.0,183.04
2,8,176.515,0.0188305,0.0,174.566
2,9,188.198,0.0188305,0.0,183.04
2,10,195.371,0.0188305,0.0,192.772
2,11,216.002,0.0188305,0.0,201.953
2,12,0.279946,0.0809164,0.0,0.0
2,13,238.317,0.0188305,0.0,208.276
2,14,160.114,0.0188305,0.0,146.273
2,15,178.607,0.0188305,0.0,164.842
2,16,847.25,0.0188305,286.989,515.071
2,17,988.697,0.0188305,286.989,661.072
2,18,999.607,0.0188305,286.989,675.837
2,19,909.379,0.0188305,286.989,585.113
2,20,1428.04,315.956,286.989,787.097
2,21,940.769,0.0188305,286.989,616.597
2,22,942.206,0.0188305,286.989,618.121
2,23,222.518,0.0188305,0.0,221.343
2,24,912.535,0.0188305,286.989,584.564
2,25,999.693,0.0188305,286.989,675.195
2,26,941.515,0.0188305,286.989,617.62
2,27,184.948,0.0188305,0.0,182.766
2,28,520.452,0.0188305,286.989,171.346
2,29,202.391,0.0188305,0.0,201.324
2,30,233.041,0.0188305,0.0,231.76
2,31,999.448,0.0188305,286.989,675.613
2,32,942.19,0.0188305,286.989,618.121
2,33,190.731,0.0188305,0.0,188.08
2,34,614.194,88.759,286.989,171.346
2,35,503.218,0.0188305,286.989,171.346
2,36,1006.58,0.0188305,286.989,679.585
2,37,215.855,0.0188305,0.0,208.276
2,38,156.065,0.0188305,0.0,143.997
2,39,942.138,0.0188305,286.989,617.684
2,40,987.797,0.0188305,286.989,658.725
2,41,1110.88,0.0188305,286.989,787.097
2,42,645.586,0.0188305,286.989,321.856
2,43,13.0603,0.0188305,0.0,10.581
2,44,148.284,0.0188305,0.0,142.736
2,45,986.658,0.0188305,286.989,661.072
2,46,979.4,0.0188305,286.989,649.088
2,47,485.022,0.0188305,0.0,476.229
2,48,233.169,0.0188305,0.0,231.406
2,49,358.468,0.0188305,0.0,355.521
2,50,184.916,0.0188305,0.0,183.214
2,51,188.732,0.0188305,0.0,183.511
